startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean,sector_final,sector_clean_old
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,2024-12-05,2024,12,Logistics,Late Stage,Pune,Logistics,Logistics
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000,2024-07-10,2024,7,EV/Cleantech,Series A,Hyderabad,EV/Cleantech,EV/Cleantech
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000,2024-02-29,2024,2,Healthtech,Late Stage,Mumbai,Healthtech,Healthtech
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,2025-01-28,2025,1,Edtech,Series A,Delhi/NCR,Edtech,Edtech
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,2024-04-28,2024,4,SaaS/Enterprise,Seed/Angel,Bengaluru,SaaS/Enterprise,SaaS/Enterprise
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,2023-02-22,2023,2,Healthtech,Series B,Delhi/NCR,Healthtech,Healthtech
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,2022-05-30,2022,5,SaaS/Enterprise,Series A,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000,2021-05-26,2021,5,Ecommerce/D2C,Seed/Angel,Pune,Ecommerce/D2C,Ecommerce/D2C
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000,2021-04-29,2021,4,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000,2022-04-23,2022,4,Fintech,Series C,Pune,Fintech,Fintech
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000,2025-02-23,2025,2,Fintech,Seed/Angel,Delhi/NCR,Fintech,Fintech
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,905000,2024-11-05,2024,11,Proptech,Seed/Angel,Chennai,Proptech,Proptech
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,2020-02-26,2020,2,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,2022-06-08,2022,6,Healthtech,Seed/Angel,Bengaluru,Healthtech,Healthtech
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,2021-01-24,2021,1,EV/Cleantech,Seed/Angel,Chennai,EV/Cleantech,EV/Cleantech
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,2020-05-23,2020,5,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000,2021-10-30,2021,10,Logistics,Series B,Hyderabad,Logistics,Logistics
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000,2021-09-08,2021,9,Foodtech,Series A,Delhi/NCR,Foodtech,Foodtech
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000,2022-08-10,2022,8,Ecommerce/D2C,Series B,Ahmedabad,Ecommerce/D2C,Ecommerce/D2C
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000,2021-08-04,2021,8,Ecommerce/D2C,Series B,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,2021-02-11,2021,2,SaaS/Enterprise,Seed/Angel,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000,2023-07-13,2023,7,Agritech,Seed/Angel,Kolkata,Agritech,Agritech
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,2021-03-24,2021,3,Healthtech,Series C,Mumbai,Healthtech,Healthtech
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000,2022-08-09,2022,8,Edtech,Seed/Angel,Kolkata,Edtech,Edtech
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,2025-01-31,2025,1,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000,2022-12-03,2022,12,Ecommerce/D2C,Series C,Hyderabad,Ecommerce/D2C,Ecommerce/D2C
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000,2021-10-16,2021,10,Other,Seed/Angel,Delhi/NCR,Other,Other
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000,2021-11-08,2021,11,Other,Seed/Angel,Mumbai,Other,Other
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000,2024-04-16,2024,4,Ecommerce/D2C,Late Stage,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000,2023-01-23,2023,1,Foodtech,Series B,Delhi/NCR,Foodtech,Foodtech
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000,2024-06-22,2024,6,Fintech,Series B,Pune,Fintech,Fintech
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,2023-09-19,2023,9,EV/Cleantech,Series A,Chennai,EV/Cleantech,EV/Cleantech
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,2021-11-01,2021,11,Other,Seed/Angel,Bengaluru,Other,Other
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000,2020-06-16,2020,6,Foodtech,Seed/Angel,Chennai,Foodtech,Foodtech
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,2021-02-12,2021,2,Ecommerce/D2C,Undisclosed,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,2022-08-10,2022,8,Proptech,Undisclosed,Ahmedabad,Proptech,Proptech
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,2020-02-22,2020,2,Ecommerce/D2C,Seed/Angel,Hyderabad,Ecommerce/D2C,Ecommerce/D2C
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000,2024-08-28,2024,8,Other,Series A,Mumbai,Other,Other
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000,2022-05-27,2022,5,Ecommerce/D2C,Seed/Angel,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000,2024-08-24,2024,8,Ecommerce/D2C,Series B,Pune,Ecommerce/D2C,Ecommerce/D2C
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000,2024-02-06,2024,2,EV/Cleantech,Series A,Kolkata,EV/Cleantech,EV/Cleantech
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000,2023-03-13,2023,3,Logistics,Series C,Delhi/NCR,Logistics,Logistics
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,2021-06-13,2021,6,Healthtech,Seed/Angel,Delhi/NCR,Healthtech,Healthtech
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000,2022-04-12,2022,4,EV/Cleantech,Seed/Angel,Mumbai,EV/Cleantech,EV/Cleantech
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000,2021-03-29,2021,3,Other,Seed/Angel,Bengaluru,Other,Other
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000,2024-03-07,2024,3,E-Commerce,Seed/Angel,Delhi/NCR,E-Commerce,Other
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000,2024-03-01,2024,3,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,2022-12-10,2022,12,SaaS,Undisclosed,Ahmedabad,SaaS,Other
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,2022-12-29,2022,12,SaaS/Enterprise,Seed/Angel,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000,2024-03-21,2024,3,EV/Cleantech,Series B,Delhi/NCR,EV/Cleantech,EV/Cleantech
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,2021-06-01,2021,6,Healthcare,Undisclosed,Delhi/NCR,Healthcare,Other
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000,2024-07-19,2024,7,Proptech,Seed/Angel,Bengaluru,Proptech,Proptech
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,2023-06-20,2023,6,Ecommerce/D2C,Series A,Ahmedabad,Ecommerce/D2C,Ecommerce/D2C
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,2021-09-17,2021,9,Other,Debt,Ahmedabad,Other,Other
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,2020-06-15,2020,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000,2023-05-01,2023,5,Healthtech,Series A,Chennai,Healthtech,Healthtech
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,2024-06-01,2024,6,Healthcare,Seed/Angel,Delhi/NCR,Healthcare,Other
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,2024-08-19,2024,8,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,2023-03-11,2023,3,Ecommerce/D2C,Series B,Ahmedabad,Ecommerce/D2C,Ecommerce/D2C
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,2022-10-21,2022,10,Other,Undisclosed,Chennai,Other,Other
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,2020-02-22,2020,2,Foodtech,Series A,Pune,Foodtech,Foodtech
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,2024-03-28,2024,3,Proptech,Seed/Angel,Ahmedabad,Proptech,Proptech
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000,2024-07-25,2024,7,Logistics,Series A,Ahmedabad,Logistics,Logistics
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000,2021-11-06,2021,11,SaaS/Enterprise,Late Stage,Mumbai,SaaS/Enterprise,SaaS/Enterprise
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,2021-05-31,2021,5,EV/Cleantech,Seed/Angel,Kolkata,EV/Cleantech,EV/Cleantech
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,2020-04-21,2020,4,SaaS/Enterprise,Series A,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,2023-01-29,2023,1,Proptech,Seed/Angel,Bengaluru,Proptech,Proptech
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,2023-07-14,2023,7,AI,Seed/Angel,Mumbai,AI,Other
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,2024-09-19,2024,9,EV/Cleantech,Seed/Angel,Mumbai,EV/Cleantech,EV/Cleantech
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,2021-08-20,2021,8,Proptech,Seed/Angel,Kolkata,Proptech,Proptech
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000,2021-01-25,2021,1,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,2022-11-05,2022,11,Logistics,Seed/Angel,Pune,Logistics,Logistics
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,2022-09-29,2022,9,SaaS/Enterprise,Debt,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000,2021-10-21,2021,10,EV/Cleantech,Series A,Chennai,EV/Cleantech,EV/Cleantech
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000,2022-08-26,2022,8,Edtech,Seed/Angel,Bengaluru,Edtech,Edtech
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,2021-11-10,2021,11,Fintech,Undisclosed,Delhi/NCR,Fintech,Fintech
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000,2020-10-22,2020,10,Ecommerce/D2C,Seed/Angel,Kolkata,Ecommerce/D2C,Ecommerce/D2C
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000,2022-03-25,2022,3,Other,Series A,Pune,Other,Other
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,2020-03-14,2020,3,Proptech,Late Stage,Kolkata,Proptech,Proptech
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,2024-04-06,2024,4,Other,Undisclosed,Chennai,Other,Other
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,2021-08-23,2021,8,Fintech,Series C,Pune,Fintech,Fintech
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000,2020-06-10,2020,6,Foodtech,Seed/Angel,Delhi/NCR,Foodtech,Foodtech
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000,2021-06-04,2021,6,Agritech,Series A,Delhi/NCR,Agritech,Agritech
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000,2022-06-23,2022,6,Logistics,Seed/Angel,Delhi/NCR,Logistics,Logistics
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000,2021-09-10,2021,9,Proptech,Series A,Hyderabad,Proptech,Proptech
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,2023-12-03,2023,12,Foodtech,Series A,Pune,Foodtech,Foodtech
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,2024-03-06,2024,3,Agritech,Seed/Angel,Bengaluru,Agritech,Agritech
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000,2023-10-20,2023,10,SaaS/Enterprise,Series A,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,2022-06-21,2022,6,Proptech,Seed/Angel,Bengaluru,Proptech,Proptech
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000,2020-09-27,2020,9,Logistics,Seed/Angel,Chennai,Logistics,Logistics
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000,2025-04-17,2025,4,SaaS/Enterprise,Seed/Angel,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000,2021-04-07,2021,4,Other,Series C,Delhi/NCR,Other,Other
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000,2020-09-10,2020,9,Ecommerce/D2C,Seed/Angel,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000,2021-04-23,2021,4,Agritech,Seed/Angel,Pune,Agritech,Agritech
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,2021-09-10,2021,9,Edtech,Seed/Angel,Kolkata,Edtech,Edtech
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,2023-01-05,2023,1,Other,Seed/Angel,Mumbai,Other,Other
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000,2024-02-29,2024,2,Proptech,Seed/Angel,Delhi/NCR,Proptech,Proptech
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,2022-06-29,2022,6,Logistics,Seed/Angel,Pune,Logistics,Logistics
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,2023-08-13,2023,8,Proptech,Seed/Angel,Delhi/NCR,Proptech,Proptech
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000,2023-08-07,2023,8,Ecommerce/D2C,Series B,Mumbai,Ecommerce/D2C,Ecommerce/D2C
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,2024-04-16,2024,4,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000,2024-10-24,2024,10,SaaS/Enterprise,Seed/Angel,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,2024-06-05,2024,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000,2022-05-12,2022,5,Healthtech,Seed/Angel,Bengaluru,Healthtech,Healthtech
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000,2021-03-29,2021,3,EV/Cleantech,Series A,Mumbai,EV/Cleantech,EV/Cleantech
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000,2022-09-07,2022,9,Other,Seed/Angel,Bengaluru,Other,Other
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,2020-05-14,2020,5,Ecommerce/D2C,Series A,Pune,Ecommerce/D2C,Ecommerce/D2C
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000,2023-05-24,2023,5,Agritech,Series A,Hyderabad,Agritech,Agritech
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000,2022-03-27,2022,3,Edtech,Series C,Pune,Edtech,Edtech
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,2024-08-30,2024,8,SaaS/Enterprise,Seed/Angel,Kolkata,SaaS/Enterprise,SaaS/Enterprise
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,2023-02-13,2023,2,Other,Series C,Pune,Other,Other
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000,2024-01-16,2024,1,Foodtech,Late Stage,Chennai,Foodtech,Foodtech
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,2022-09-14,2022,9,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000,2024-07-11,2024,7,SaaS/Enterprise,Series A,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,2021-07-13,2021,7,Proptech,Seed/Angel,Hyderabad,Proptech,Proptech
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000,2024-02-26,2024,2,Agritech,Seed/Angel,Chennai,Agritech,Agritech
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000,2021-10-26,2021,10,SaaS/Enterprise,Seed/Angel,Pune,SaaS/Enterprise,SaaS/Enterprise
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000,2023-09-17,2023,9,Agritech,Seed/Angel,Mumbai,Agritech,Agritech
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000,2021-08-03,2021,8,EV/Cleantech,Seed/Angel,Pune,EV/Cleantech,EV/Cleantech
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,2025-04-20,2025,4,Agritech,Seed/Angel,Bengaluru,Agritech,Agritech
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,2020-12-25,2020,12,Ecommerce/D2C,Series B,Kolkata,Ecommerce/D2C,Ecommerce/D2C
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000,2024-10-30,2024,10,SaaS/Enterprise,Seed/Angel,Pune,SaaS/Enterprise,SaaS/Enterprise
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,339000,2022-04-09,2022,4,Agritech,Seed/Angel,Chennai,Agritech,Agritech
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,2025-02-26,2025,2,Ecommerce/D2C,Late Stage,Kolkata,Ecommerce/D2C,Ecommerce/D2C
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,2024-11-17,2024,11,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000,2022-12-22,2022,12,Healthtech,Series B,Delhi/NCR,Healthtech,Healthtech
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,2020-10-26,2020,10,SaaS/Enterprise,Seed/Angel,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,2023-07-10,2023,7,Proptech,Undisclosed,Delhi/NCR,Proptech,Proptech
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000,2025-06-11,2025,6,Agritech,Seed/Angel,Ahmedabad,Agritech,Agritech
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,2022-11-05,2022,11,Ecommerce/D2C,Seed/Angel,Ahmedabad,Ecommerce/D2C,Ecommerce/D2C
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,2025-06-24,2025,6,SaaS/Enterprise,Series B,Mumbai,SaaS/Enterprise,SaaS/Enterprise
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000,2024-06-09,2024,6,Foodtech,Series A,Ahmedabad,Foodtech,Foodtech
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,2022-07-11,2022,7,FoodTech,Undisclosed,Delhi/NCR,FoodTech,Other
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000,2023-12-20,2023,12,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000,2023-10-22,2023,10,Logistics,Series C,Chennai,Logistics,Logistics
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000,2024-01-22,2024,1,Ecommerce/D2C,Seed/Angel,Chennai,Ecommerce/D2C,Ecommerce/D2C
